BLItemNo,PartName,Colour,LDrawColour,Qty
3023,Plate 1 x 2,Dark Bluish Gray,72,1828
3023,Plate 1 x 2,Black,0,1643
3024,Plate 1 x 1,Dark Bluish Gray,72,1561
3623,Plate 1 x 3,Dark Bluish Gray,72,1094
3024,Plate 1 x 1,Black,0,1076
3623,Plate 1 x 3,Black,0,956
3710,Plate 1 x 4,Dark Bluish Gray,72,827
3024,Plate 1 x 1,Dark Orange,484,819
3710,Plate 1 x 4,Black,0,744
3023,Plate 1 x 2,Dark Orange,484,662
60479,Plate 1 x 12,Black,0,415
3710,Plate 1 x 4,Dark Orange,484,393
60479,Plate 1 x 12,Dark Bluish Gray,72,380
60479,Plate 1 x 12,Dark Orange,484,358
3666,Plate 1 x 6,Dark Bluish Gray,72,333
3623,Plate 1 x 3,Dark Orange,484,320
3666,Plate 1 x 6,Dark Orange,484,217
3666,Plate 1 x 6,Black,0,193
4477,Plate 1 x 10,Dark Orange,484,187
3024,Plate 1 x 1,Light Bluish Gray,71,178
3022,Plate 2 x 2,Dark Bluish Gray,72,176
3022,Plate 2 x 2,Black,0,176
3023,Plate 1 x 2,Light Bluish Gray,71,172
3460,Plate 1 x 8,Dark Bluish Gray,72,171
4477,Plate 1 x 10,Dark Bluish Gray,72,151
3460,Plate 1 x 8,Dark Orange,484,129
3020,Plate 2 x 4,Black,0,110
3021,Plate 2 x 3,Black,0,95
3020,Plate 2 x 4,Dark Bluish Gray,72,89
4477,Plate 1 x 10,Black,0,89
3623,Plate 1 x 3,Light Bluish Gray,71,77
3021,Plate 2 x 3,Dark Bluish Gray,72,76
3460,Plate 1 x 8,Black,0,72
3460,Plate 1 x 8,Light Bluish Gray,71,57
3022,Plate 2 x 2,Light Bluish Gray,71,47
3795,Plate 2 x 6,Dark Bluish Gray,72,38
3021,Plate 2 x 3,Light Bluish Gray,71,37
3020,Plate 2 x 4,Dark Orange,484,36
3795,Plate 2 x 6,Dark Orange,484,34
3024,Plate 1 x 1,Dark Red,320,33
3710,Plate 1 x 4,Light Bluish Gray,71,31
3832,Plate 2 x 10,Dark Bluish Gray,72,29
3022,Plate 2 x 2,Dark Orange,484,28
3024,Plate 1 x 1,Red,4,27
3021,Plate 2 x 3,Dark Orange,484,26
3024,Plate 1 x 1,Dark Brown,308,25
4282,Plate 2 x 16,Black,0,22
4282,Plate 2 x 16,Dark Bluish Gray,72,21
3666,Plate 1 x 6,Light Bluish Gray,71,21
2445,Plate 2 x 12,Dark Bluish Gray,72,20
4282,Plate 2 x 16,Dark Orange,484,20
3795,Plate 2 x 6,Black,0,19
3034,Plate 2 x 8,Dark Orange,484,19
3460,Plate 1 x 8,Dark Brown,308,19
3034,Plate 2 x 8,Dark Bluish Gray,72,15
2445,Plate 2 x 12,Black,0,14
3023,Plate 1 x 2,Dark Brown,308,13
3028,Plate 6 x 12,Black,0,11
3020,Plate 2 x 4,Light Bluish Gray,71,11
3034,Plate 2 x 8,Black,0,11
3666,Plate 1 x 6,Red,4,10
92438,Plate 8 x 16,Black,0,9
3023,Plate 1 x 2,Red,4,9
3666,Plate 1 x 6,Dark Brown,308,9
3029,Plate 4 x 12,Black,0,8
2445,Plate 2 x 12,Dark Orange,484,8
3023,Plate 1 x 2,Medium Nougat,84,8
3024,Plate 1 x 1,Medium Nougat,84,8
3034,Plate 2 x 8,Light Bluish Gray,71,8
3032,Plate 4 x 6,Dark Bluish Gray,72,7
60479,Plate 1 x 12,Light Bluish Gray,71,7
3027,Plate 6 x 16,Black,0,6
3795,Plate 2 x 6,Light Bluish Gray,71,6
3023,Plate 1 x 2,Light Aqua,323,6
3024,Plate 1 x 1,Light Aqua,323,6
3031,Plate 4 x 4,Black,0,6
3024,Plate 1 x 1,Orange,25,6
3710,Plate 1 x 4,Red,4,6
3030,Plate 4 x 10,Dark Orange,484,6
3832,Plate 2 x 10,Dark Orange,484,6
3710,Plate 1 x 4,Dark Brown,308,6
3031,Plate 4 x 4,Dark Bluish Gray,72,5
3035,Plate 4 x 8,Dark Bluish Gray,72,4
3035,Plate 4 x 8,Black,0,4
3029,Plate 4 x 12,Dark Orange,484,4
3023,Plate 1 x 2,Dark Red,320,4
3832,Plate 2 x 10,Black,0,3
3036,Plate 6 x 8,Dark Bluish Gray,72,3
3623,Plate 1 x 3,Light Aqua,323,3
3033,Plate 6 x 10,Dark Bluish Gray,72,2
3032,Plate 4 x 6,Dark Orange,484,2
3031,Plate 4 x 4,Dark Orange,484,2
3023,Plate 1 x 2,Orange,25,2
92438,Plate 8 x 16,Dark Bluish Gray,72,2
3623,Plate 1 x 3,Red,4,2
3033,Plate 6 x 10,Dark Orange,484,2
3030,Plate 4 x 10,Black,0,2
41539,Plate 8 x 8,Black,0,2
92438,Plate 8 x 16,Dark Orange,484,2
3623,Plate 1 x 3,Dark Brown,308,2
3028,Plate 6 x 12,Dark Bluish Gray,72,1
3029,Plate 4 x 12,Dark Bluish Gray,72,1
3958,Plate 6 x 6,Dark Bluish Gray,72,1
3032,Plate 4 x 6,Black,0,1
3710,Plate 1 x 4,Light Aqua,323,1
3021,Plate 2 x 3,Light Aqua,323,1
3022,Plate 2 x 2,Light Aqua,323,1
4477,Plate 1 x 10,Light Bluish Gray,71,1
3958,Plate 6 x 6,Black,0,1
3710,Plate 1 x 4,Orange,25,1
3623,Plate 1 x 3,Orange,25,1
3033,Plate 6 x 10,Black,0,1
3027,Plate 6 x 16,Dark Orange,484,1
3028,Plate 6 x 12,Dark Orange,484,1
3021,Plate 2 x 3,Dark Brown,308,1
3022,Plate 2 x 2,Dark Brown,308,1
3035,Plate 4 x 8,Dark Orange,484,1
3024,Plate 1 x 1,Reddish Brown,70,1
